18	18
  2.86  3.04  2.96  2.61  2.10  1.67  1.47  1.41  1.34  1.18  0.93  0.27  0.28  0.81  1.61  1.94  2.10  2.49 
  3.00  3.13  2.99  2.61  2.05  1.52  1.18  1.00  0.86  0.76  0.81  1.10  1.71  2.35  2.58  2.25  2.27  2.66 
  2.93  3.01  2.86  2.47  1.93  1.37  0.99  0.76  0.61  0.51  0.52  0.80  1.52  2.21  2.58  2.34  2.30  2.65 
  2.69  2.76  2.60  2.24  1.72  1.21  0.84  0.60  0.43  0.23 -0.27 -0.25  0.47  1.22  1.89  1.82  1.90  2.39 
  2.32  2.42  2.27  1.92  1.44  0.99  0.65  0.42  0.15 -0.46 -1.68 -1.46 -0.82 -0.19  0.43  0.41  0.86  1.85 
  1.90  2.03  1.88  1.51  1.03  0.63  0.36  0.13 -0.34 -1.71 -2.58 -2.27 -1.87 -1.51 -1.20 -1.11 -0.16  1.25 
  1.47  1.52  1.31  0.87  0.41  0.12  0.00 -0.13 -0.89 -2.63 -2.86 -2.58 -2.33 -2.17 -2.07 -1.95 -0.55  0.94 
  1.06  1.00  0.79  0.45  0.13 -0.03 -0.05 -0.06 -0.71 -2.77 -2.95 -2.69 -2.50 -2.39 -2.34 -2.25 -0.58  0.84 
  0.97  0.96  0.80  0.51  0.22  0.06  0.00 -0.02 -0.20 -1.86 -2.92 -2.74 -2.56 -2.45 -2.39 -2.28 -0.56  0.83 
  1.07  1.15  0.94  0.57  0.22  0.02 -0.06 -0.09 -0.13 -0.58 -2.43 -2.71 -2.55 -2.42 -2.31 -2.04 -0.21  0.82 
  1.05  1.25  1.03  0.56  0.17 -0.04 -0.13 -0.15 -0.15 -0.20 -1.16 -2.42 -2.36 -2.18 -1.96 -1.27  0.36  0.77 
  0.98  1.22  1.05  0.55  0.15 -0.06 -0.14 -0.16 -0.14 -0.13 -0.43 -1.60 -1.75 -1.61 -1.23 -0.09  0.81  0.80 
  0.96  1.10  0.99  0.58  0.20 -0.02 -0.11 -0.13 -0.12 -0.10 -0.30 -0.96 -1.00 -0.88 -0.43  0.69  1.15  0.94 
  0.96  0.92  0.84  0.60  0.30  0.08 -0.04 -0.08 -0.08 -0.05 -0.28 -0.70 -0.57 -0.38  0.05  1.01  1.38  1.13 
  0.98  0.79  0.72  0.64  0.47  0.27  0.11  0.03  0.00  0.02 -0.30 -0.65 -0.55 -0.39 -0.08  0.80  1.45  1.28 
  1.43  1.36  1.32  1.25  1.13  0.96  0.75  0.57  0.43  0.25 -0.42 -0.68 -0.58 -0.44 -0.23  0.38  1.46  1.55 
  2.02  2.17  2.23  2.11  1.88  1.72  1.73  1.85  1.93  1.49 -0.28 -0.53 -0.40 -0.23  0.01  0.75  1.73  1.88 
  2.51  2.72  2.74  2.48  2.08  1.80  1.75  1.87  1.96  1.76  0.48 -0.28 -0.17  0.06  0.47  1.45  1.93  2.21 
