H  0.0444872 1
He  0.0277892 1
Li  1.71605 1
Be  1.48231 1
B  1.24151 1
C  0.999998 1
N  0.780615 1
O  0.627736 1
F  0.5166 1
Ne   0.433072 1
Na   3.61627 1
Mg   4.29754 1
Al   5.50428 1
Si   5.3601 1
P   4.79207 1
S   4.24146 1
Cl   3.76566 1
Ar   3.34392 1
K   12.6911 1
Ca   15.5702 1
Sc   13.6654 1
Ti   12.1117 1
V   10.7941 1
Cr   7.69918 1
Mn   8.86039 1
Fe   8.13567 1
Co   7.44624 1
Ni   6.81748 1
Cu   4.93804 1
Zn   5.84716 1
Ga   8.00058 1
Ge   8.64189 1
As   8.53914 1
Se   8.27235 1
Br   7.92845 1
Kr   7.55695 1
Rb   21.8987 1
Sr   27.024 1
Y   25.4741 1
Zr   23.5588 1
Nb   18.2075 1
Mo   16.7869 1
Tc   18.6131 1
Ru   14.4776 1
Rh   13.5372 1
Pd   9.12112 1
Ag   11.9247 1
Cd   13.5244 1
In   17.235 1
Sn   18.7 1
Sb   19.157 1
Te   19.16 1
I   18.8988 1
Xe   18.4903 1
Cs   42.5438 1
Ba   52.3393 1
La   50.1869 1
Ce   47.8218 1
Pr   45.5389 1
Nd   43.1338 1
Pm   41.5183 1
Sm   39.7828 1
Eu   38.1517 1
Gd   37.0207 1
Tb   35.2697 1
Dy   33.898 1
Ho   32.5976 1
Er   31.1725 1
Tm   30.0192 1
Yb   28.2632 1
Lu   28.0326 1
Hf   26.9922 1
Ta   25.7361 1
W   24.704 1
Re   23.8684 1
Os   22.6674 1
Ir   21.4947 1
Pt   18.5165 1
Au   17.6589 1
Hg   18.9234 1
Tl   25.6889 1
Pb   26.9626 1
Bi   26.9474 1
Po   23.8629 1
At   28.734 1
Rn   28.7999 1
Fr   50.9563 1
Ra   62.8004 1
Ac   66.5727 1
Th   64.8004 1
Pa   60.5933 1
U   57.8371 1
Np   55.6476 1
Pu   51.8924 1
Am   49.8216 1
Cm   49.1348 1
Bk   47.6216 1
Cf   44.1356 1
Es   42.4524 1
Fm    40.7625 1
Md    39.2219 1
No    37.6153 1
Lr    39.7949 1
