; Scattering factors for elements.
; Parameters for Neutron Scattering cohb taken from
; Special Feature section of neutron scattering lengths and cross sections of the elements and their isotopes in Neutron News
; Vol. 3, No. 3, 1992, pp. 29-37.
; Parameters for Cromer-Mann fit taken from
; International Tables for Crystallography (2006). Vol. C, ch. 6.1, pp. 554-595
; Underlying calculations due to D. T. Cromer & J. B. Mann
; X-ray scattering factors computed from numerical Hartree-Fock wave functions
; Acta Cryst. A 24 (1968) p. 321
; the hydrogen data for SAXS is based on another model
; ("SDS", per Table 6.1.1.4 in International Tables for Crystallography), https://doi.org/10.1063/1.1696397
;Atom Num   cohb       a1        a2        a3        a4        b1        b2         b3        b4        c
 H    1    -3.740600   0.493002  0.322912  0.140191  0.04081  10.51090  26.12570    3.14236  57.79970   0.003038
 D    1     6.671000   0.493002  0.322912  0.140191  0.04081  10.51090  26.12570    3.14236  57.79970   0.003038
He    2     3.263333   0.873400  0.630900  0.311200  0.17800   9.10370   3.35680   22.92760   0.98210   0.006399
Li    3    -1.900000   1.128200  0.750800  0.617500  0.46530   3.95460   1.05240   85.39050 168.26100   0.037700
 C    6     6.646000   2.310000  1.020000  1.588600  0.86500  20.84390  10.20750    0.56870  51.65120   0.215600
 N    7     9.360000  12.212600  3.132200  2.012500  1.16630   0.00570   9.89330   28.99750   0.58260 -11.529000
 O    8     5.803000   3.048500  2.286800  1.546300  0.86700  13.27710   5.70110    0.32390  32.90890   0.250800
 F    9     5.654000   3.539200  2.641200  1.517000  1.02430  10.28250   4.29440    0.26150  26.14760   0.277600
Na   11     3.630000   4.762600  3.173600  1.267400  1.11280   3.28500   8.84220    0.31360 129.42400   0.676000
Mg   12     5.375000   5.420400  2.173500  1.226900  2.30730   2.82750  79.26110    0.38080   7.19370   0.858400
Al   13     3.449000   6.420200  1.900200  1.593600  1.96460   3.03870   0.74260   31.54720  85.08860   1.115100
 P   15     5.130000   6.434500  4.179100  1.780000  1.49080   1.90670  27.15700    0.52600  68.16450   1.114900
 S   16     2.847000   6.905300  5.203400  1.437900  1.58630   1.46790  22.21510    0.25360  56.17200   0.866900
Cl   17     9.577000  11.460400  7.196400  6.255600  1.64550   0.01040   1.16620   18.51940  47.77840  -9.557400
 K   19     3.670000   8.218600  7.439800  1.051900  0.86590   12.7949   0.77480  213.18700  41.68410   1.422800
Ca   20     4.700000   8.626600  7.387300  1.589900  1.02110   10.4421   0.65990   85.74840 178.4370    1.375100
Mn   25    -3.730000  11.281900  7.357300  3.019300  2.24410   5.34090   0.34320   17.86740  83.75430   1.089600
Fe   26     9.450000  11.769500  7.357300  3.522200  2.30450   4.76110   0.30720   15.35350  76.88050   1.036900
Cu   29     7.710000  13.338000  7.167600  5.615800  1.67350   3.58280   0.24700   11.39660  64.81260   1.191000
Zn   30     5.680000  14.074300  7.031800  5.165200  2.41000   3.26550   0.23330   10.31630  58.70970   1.304100
Se   34     7.970000  17.000600  5.819600  3.973100  4.35430   2.40980   0.27260   15.23720  43.81630   2.840900
Br   35     6.795000  17.178900  5.235800  5.637700  3.98510   2.17230   16.5796    0.26090  41.43280   2.955700
Rb   37     7.090000  17.178400  9.643500  5.139900  1.52920   1.78880   17.3151    0.27480 164.93400   3.487300
 I   53     5.280000  20.147200 18.994900  7.513800  2.27350   4.34700   0.38140   27.76600  66.87760   4.071200
