26
ILE            CD1    CD
ILE            HD11   HD1
ILE            HD12   HD2
ILE            HD13   HD3
HOH            O      OW
HOH            OW1    OW
HO4            O      OW
HO4            OW1    OW
HO5            O      OW
HO5            OW1    OW
HEME           N_A    NA
HEME           N_B    NB
HEME           N_C    NC
HEME           N_D    ND
protein        HN     H
protein-nterm  HT1    H1
protein-nterm  HT2    H2
protein-nterm  HT3    H3
protein-cterm  O1     O
protein-cterm  O2     OXT
protein-cterm  OT1    O
protein-cterm  OT2    OXT
protein-cterm  OT     OXT
protein-cterm  O'     O
protein-cterm  O''    OXT
protein-cterm  OC1    O
protein-cterm  OC2    OXT
